dataset rows	1000000	2500000	5000000	10000000	50000000
4 core sqlalchemy bodo	2.11	3.65	5.95	10.55	20.06
1 core pyarrow no bodo	0.59	1.46	2.64	5.01	17.29
4 core multiprocessing pyarrow	1.00	1.69	3.08	5.11	16.45
12 core multiprocessing pyarrow	2.03	2.67	4.06	6.48	17.00
